Match Number,Round Number,Date,Location,Home Team,Away Team,Result
595,12,8/1/2023,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
596,12,8/1/2023,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
597,12,8/1/2023,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,
598,12,8/1/2023,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,
599,12,8/1/2023,FTX Arena,Miami Heat,Brooklyn Nets,
600,12,8/1/2023,FedExForum,Memphis Grizzlies,Utah Jazz,
601,12,9/1/2023,Toyota Center,Houston Rockets,Minnesota Timberwolves,
602,12,9/1/2023,Paycom Center,Oklahoma City Thunder,Dallas Mavericks,
603,12,9/1/2023,Footprint Center,Phoenix Suns,Cleveland Cavaliers,
604,12,9/1/2023,Crypto.com Arena,LA Clippers,Atlanta Hawks,
605,12,10/1/2023,Capital One Arena,Washington Wizards,New Orleans Pelicans,
606,12,10/1/2023,TD Garden,Boston Celtics,Chicago Bulls,
607,12,10/1/2023,Madison Square Garden,New York Knicks,Milwaukee Bucks,
608,12,10/1/2023,FedExForum,Memphis Grizzlies,San Antonio Spurs,
609,12,10/1/2023,Ball Arena,Denver Nuggets,Los Angeles Lakers,
610,12,10/1/2023,Golden 1 Center,Sacramento Kings,Orlando Magic,
611,12,11/1/2023,FTX Arena,Miami Heat,Oklahoma City Thunder,
612,12,11/1/2023,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,
613,12,11/1/2023,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
614,12,11/1/2023,Vivint Arena,Utah Jazz,Cleveland Cavaliers,
615,12,11/1/2023,Chase Center,Golden State Warriors,Phoenix Suns,
616,12,11/1/2023,Moda Center,Portland Trail Blazers,Orlando Magic,
617,12,11/1/2023,Crypto.com Arena,LA Clippers,Dallas Mavericks,
618,12,12/1/2023,Little Caesars Arena,Detroit Pistons,Minnesota Timberwolves,
619,12,12/1/2023,Capital One Arena,Washington Wizards,Chicago Bulls,
620,12,12/1/2023,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,
621,12,12/1/2023,TD Garden,Boston Celtics,New Orleans Pelicans,
622,12,12/1/2023,Madison Square Garden,New York Knicks,Indiana Pacers,
623,12,12/1/2023,FedExForum,Memphis Grizzlies,San Antonio Spurs,
624,12,12/1/2023,Ball Arena,Denver Nuggets,Phoenix Suns,
625,12,12/1/2023,Golden 1 Center,Sacramento Kings,Houston Rockets,
626,13,13/01/2023,Wells Fargo Center,Philadelphia 76ers,Oklahoma City Thunder,
627,13,13/01/2023,Barclays Center,Brooklyn Nets,Boston Celtics,
628,13,13/01/2023,FTX Arena,Miami Heat,Milwaukee Bucks,
629,13,13/01/2023,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
630,13,13/01/2023,Crypto.com Arena,Los Angeles Lakers,Dallas Mavericks,
631,13,13/01/2023,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,
632,13,14/01/2023,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,
633,13,14/01/2023,Gainbridge Fieldhouse,Indiana Pacers,Atlanta Hawks,
634,13,14/01/2023,Capital One Arena,Washington Wizards,New York Knicks,
635,13,14/01/2023,Alamodome,San Antonio Spurs,Golden State Warriors,
636,13,14/01/2023,United Center,Chicago Bulls,Oklahoma City Thunder,
637,13,14/01/2023,Target Center,Minnesota Timberwolves,Phoenix Suns,
638,13,14/01/2023,Vivint Arena,Utah Jazz,Orlando Magic,
639,13,14/01/2023,Crypto.com Arena,LA Clippers,Denver Nuggets,
640,13,14/01/2023,Golden 1 Center,Sacramento Kings,Houston Rockets,
641,13,14/01/2023,FTX Arena,Miami Heat,Milwaukee Bucks,
642,13,15/01/2023,Spectrum Center,Charlotte Hornets,Boston Celtics,
643,13,15/01/2023,Gainbridge Fieldhouse,Indiana Pacers,Memphis Grizzlies,
644,13,15/01/2023,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,
645,13,15/01/2023,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,
646,13,15/01/2023,Vivint Arena,Utah Jazz,Philadelphia 76ers,
647,13,15/01/2023,Moda Center,Portland Trail Blazers,Dallas Mavericks,
648,13,15/01/2023,Little Caesars Arena,Detroit Pistons,New York Knicks,
649,13,15/01/2023,Crypto.com Arena,LA Clippers,Houston Rockets,
650,13,15/01/2023,United Center,Chicago Bulls,Golden State Warriors,
651,13,15/01/2023,Barclays Center,Brooklyn Nets,Oklahoma City Thunder,
652,13,16/01/2023,AT&T Center,San Antonio Spurs,Sacramento Kings,
653,13,16/01/2023,Ball Arena,Denver Nuggets,Orlando Magic,
654,13,16/01/2023,Moda Center,Portland Trail Blazers,Dallas Mavericks,
655,13,16/01/2023,Crypto.com Arena,Los Angeles Lakers,Philadelphia 76ers,
656,13,16/01/2023,Spectrum Center,Charlotte Hornets,Boston Celtics,
657,13,16/01/2023,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,
658,13,16/01/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New Orleans Pelicans,
659,13,16/01/2023,Madison Square Garden,New York Knicks,Toronto Raptors,
660,13,16/01/2023,Capital One Arena,Washington Wizards,Golden State Warriors,
661,13,16/01/2023,State Farm Arena,Atlanta Hawks,Miami Heat,
662,13,16/01/2023,Target Center,Minnesota Timberwolves,Utah Jazz,
663,13,16/01/2023,FedExForum,Memphis Grizzlies,Phoenix Suns,
664,13,17/01/2023,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,
665,13,18/01/2023,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,
666,13,18/01/2023,AT&T Center,San Antonio Spurs,Brooklyn Nets,
667,13,18/01/2023,Ball Arena,Denver Nuggets,Portland Trail Blazers,
668,13,18/01/2023,Crypto.com Arena,LA Clippers,Philadelphia 76ers,
669,13,19/01/2023,Madison Square Garden,New York Knicks,Washington Wizards,
670,13,19/01/2023,American Airlines Center,Dallas Mavericks,Atlanta Hawks,
671,13,19/01/2023,Toyota Center,Houston Rockets,Charlotte Hornets,
672,13,19/01/2023,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,
673,13,19/01/2023,Smoothie King Center,New Orleans Pelicans,Miami Heat,
674,13,19/01/2023,Paycom Center,Oklahoma City Thunder,Indiana Pacers,
675,13,19/01/2023,Vivint Arena,Utah Jazz,LA Clippers,
676,13,19/01/2023,Ball Arena,Denver Nuggets,Minnesota Timberwolves,
677,13,19/01/2023,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,
678,14,19/01/2023,Accor Arena,Detroit Pistons,Chicago Bulls,
679,14,20/01/2023,TD Garden,Boston Celtics,Golden State Warriors,
680,14,20/01/2023,Target Center,Minnesota Timberwolves,Toronto Raptors,
681,14,20/01/2023,Footprint Center,Phoenix Suns,Brooklyn Nets,
682,14,20/01/2023,Moda Center,Portland Trail Blazers,Philadelphia 76ers,
683,14,21/01/2023,Amway Center,Orlando Magic,New Orleans Pelicans,
684,14,21/01/2023,State Farm Arena,Atlanta Hawks,New York Knicks,
685,14,21/01/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Golden State Warriors,
686,14,21/01/2023,American Airlines Center,Dallas Mavericks,Miami Heat,
687,14,21/01/2023,AT&T Center,San Antonio Spurs,LA Clippers,
688,14,21/01/2023,Ball Arena,Denver Nuggets,Indiana Pacers,
689,14,21/01/2023,Vivint Arena,Utah Jazz,Brooklyn Nets,
690,14,21/01/2023,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,
691,14,21/01/2023,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,
692,14,21/01/2023,Scotiabank Arena,Toronto Raptors,Boston Celtics,
693,14,22/01/2023,Capital One Arena,Washington Wizards,Orlando Magic,
694,14,22/01/2023,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
695,14,22/01/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,
696,14,22/01/2023,Target Center,Minnesota Timberwolves,Houston Rockets,
697,14,22/01/2023,Footprint Center,Phoenix Suns,Indiana Pacers,
698,14,22/01/2023,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,
699,14,22/01/2023,FTX Arena,Miami Heat,New Orleans Pelicans,
700,14,22/01/2023,Scotiabank Arena,Toronto Raptors,New York Knicks,
701,14,23/01/2023,American Airlines Center,Dallas Mavericks,LA Clippers,
702,14,23/01/2023,Ball Arena,Denver Nuggets,Oklahoma City Thunder,
703,14,23/01/2023,Footprint Center,Phoenix Suns,Memphis Grizzlies,
704,14,23/01/2023,Chase Center,Golden State Warriors,Brooklyn Nets,
705,14,23/01/2023,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
706,14,24/01/2023,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,
707,14,24/01/2023,Amway Center,Orlando Magic,Boston Celtics,
708,14,24/01/2023,United Center,Chicago Bulls,Atlanta Hawks,
709,14,24/01/2023,Toyota Center,Houston Rockets,Minnesota Timberwolves,
710,14,24/01/2023,Vivint Arena,Utah Jazz,Charlotte Hornets,
711,14,24/01/2023,Moda Center,Portland Trail Blazers,San Antonio Spurs,
712,14,24/01/2023,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,
713,14,25/01/2023,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,
714,14,25/01/2023,FTX Arena,Miami Heat,Boston Celtics,
715,14,25/01/2023,Madison Square Garden,New York Knicks,Cleveland Cavaliers,
716,14,25/01/2023,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,
717,14,25/01/2023,American Airlines Center,Dallas Mavericks,Washington Wizards,
718,14,25/01/2023,Footprint Center,Phoenix Suns,Charlotte Hornets,
719,14,25/01/2023,Crypto.com Arena,Los Angeles Lakers,LA Clippers,
720,14,26/01/2023,Amway Center,Orlando Magic,Indiana Pacers,
721,14,26/01/2023,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,
722,14,26/01/2023,Toyota Center,Houston Rockets,Washington Wizards,
723,14,26/01/2023,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,
724,14,26/01/2023,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,
725,14,26/01/2023,Paycom Center,Oklahoma City Thunder,Atlanta Hawks,
726,14,26/01/2023,Chase Center,Golden State Warriors,Memphis Grizzlies,
727,14,26/01/2023,Moda Center,Portland Trail Blazers,Utah Jazz,
728,14,26/01/2023,Golden 1 Center,Sacramento Kings,Toronto Raptors,
729,14,26/01/2023,Crypto.com Arena,Los Angeles Lakers,San Antonio Spurs,
730,15,27/01/2023,TD Garden,Boston Celtics,New York Knicks,
731,15,27/01/2023,Barclays Center,Brooklyn Nets,Detroit Pistons,
732,15,27/01/2023,Spectrum Center,Charlotte Hornets,Chicago Bulls,
733,15,27/01/2023,Toyota Center,Houston Rockets,Cleveland Cavaliers,
734,15,27/01/2023,Footprint Center,Phoenix Suns,Dallas Mavericks,
735,15,27/01/2023,Crypto.com Arena,LA Clippers,San Antonio Spurs,
736,15,28/01/2023,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,
737,15,28/01/2023,Target Center,Minnesota Timberwolves,Memphis Grizzlies,
738,15,28/01/2023,FTX Arena,Miami Heat,Orlando Magic,
739,15,28/01/2023,Paycom Center,Oklahoma City Thunder,Cleveland Cavaliers,
740,15,28/01/2023,Chase Center,Golden State Warriors,Toronto Raptors,
741,15,28/01/2023,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,
742,15,28/01/2023,Barclays Center,Brooklyn Nets,New York Knicks,
743,15,29/01/2023,Little Caesars Arena,Detroit Pistons,Houston Rockets,
744,15,29/01/2023,Amway Center,Orlando Magic,Chicago Bulls,
745,15,29/01/2023,State Farm Arena,Atlanta Hawks,LA Clippers,
746,15,29/01/2023,Target Center,Minnesota Timberwolves,Sacramento Kings,
747,15,29/01/2023,Smoothie King Center,New Orleans Pelicans,Washington Wizards,
748,15,29/01/2023,AT&T Center,San Antonio Spurs,Phoenix Suns,
749,15,29/01/2023,TD Garden,Boston Celtics,Los Angeles Lakers,
750,15,29/01/2023,Vivint Arena,Utah Jazz,Dallas Mavericks,
751,15,29/01/2023,Moda Center,Portland Trail Blazers,Toronto Raptors,
752,15,29/01/2023,Spectrum Center,Charlotte Hornets,Miami Heat,
753,15,29/01/2023,FedExForum,Memphis Grizzlies,Indiana Pacers,
754,15,30/01/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,LA Clippers,
755,15,30/01/2023,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,
756,15,31/01/2023,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,
757,15,31/01/2023,Barclays Center,Brooklyn Nets,Los Angeles Lakers,
758,15,31/01/2023,Target Center,Minnesota Timberwolves,Sacramento Kings,
759,15,31/01/2023,Paycom Center,Oklahoma City Thunder,Golden State Warriors,
760,15,31/01/2023,AT&T Center,San Antonio Spurs,Washington Wizards,
761,15,31/01/2023,American Airlines Center,Dallas Mavericks,Detroit Pistons,
762,15,31/01/2023,Footprint Center,Phoenix Suns,Toronto Raptors,
763,15,31/01/2023,Moda Center,Portland Trail Blazers,Atlanta Hawks,
764,15,1/2/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,
765,15,1/2/2023,Madison Square Garden,New York Knicks,Los Angeles Lakers,
766,15,1/2/2023,United Center,Chicago Bulls,LA Clippers,
767,15,1/2/2023,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,
768,15,1/2/2023,Ball Arena,Denver Nuggets,New Orleans Pelicans,
769,15,2/2/2023,Little Caesars Arena,Detroit Pistons,Washington Wizards,
770,15,2/2/2023,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,
771,15,2/2/2023,FedExForum,Memphis Grizzlies,Portland Trail Blazers,
772,15,2/2/2023,TD Garden,Boston Celtics,Brooklyn Nets,
773,15,2/2/2023,Toyota Center,Houston Rockets,Oklahoma City Thunder,
774,15,2/2/2023,Target Center,Minnesota Timberwolves,Golden State Warriors,
775,15,2/2/2023,AT&T Center,San Antonio Spurs,Sacramento Kings,
776,15,2/2/2023,Vivint Arena,Utah Jazz,Toronto Raptors,
777,15,2/2/2023,Footprint Center,Phoenix Suns,Atlanta Hawks,
778,16,3/2/2023,Gainbridge Fieldhouse,Indiana Pacers,Los Angeles Lakers,
779,16,3/2/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Memphis Grizzlies,
780,16,3/2/2023,Madison Square Garden,New York Knicks,Miami Heat,
781,16,3/2/2023,United Center,Chicago Bulls,Charlotte Hornets,
782,16,3/2/2023,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
783,16,3/2/2023,Ball Arena,Denver Nuggets,Golden State Warriors,
784,16,3/2/2023,Fiserv Forum,Milwaukee Bucks,LA Clippers,
785,16,4/2/2023,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,
786,16,4/2/2023,Gainbridge Fieldhouse,Indiana Pacers,Sacramento Kings,
787,16,4/2/2023,Capital One Arena,Washington Wizards,Portland Trail Blazers,
788,16,4/2/2023,TD Garden,Boston Celtics,Phoenix Suns,
789,16,4/2/2023,Toyota Center,Houston Rockets,Toronto Raptors,
790,16,4/2/2023,Target Center,Minnesota Timberwolves,Orlando Magic,
791,16,4/2/2023,AT&T Center,San Antonio Spurs,Philadelphia 76ers,
792,16,4/2/2023,Vivint Arena,Utah Jazz,Atlanta Hawks,
793,16,4/2/2023,Barclays Center,Brooklyn Nets,Washington Wizards,
794,16,5/2/2023,Little Caesars Arena,Detroit Pistons,Phoenix Suns,
795,16,5/2/2023,Madison Square Garden,New York Knicks,LA Clippers,
796,16,5/2/2023,United Center,Chicago Bulls,Portland Trail Blazers,
797,16,5/2/2023,Fiserv Forum,Milwaukee Bucks,Miami Heat,
798,16,5/2/2023,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,
799,16,5/2/2023,Paycom Center,Oklahoma City Thunder,Houston Rockets,
800,16,5/2/2023,Chase Center,Golden State Warriors,Dallas Mavericks,
801,16,5/2/2023,Ball Arena,Denver Nuggets,Atlanta Hawks,
802,16,5/2/2023,Spectrum Center,Charlotte Hornets,Orlando Magic,
803,16,5/2/2023,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,
804,16,5/2/2023,Madison Square Garden,New York Knicks,Philadelphia 76ers,
805,16,5/2/2023,FedExForum,Memphis Grizzlies,Toronto Raptors,
806,16,6/2/2023,Target Center,Minnesota Timberwolves,Denver Nuggets,
807,16,6/2/2023,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
808,16,7/2/2023,Little Caesars Arena,Detroit Pistons,Boston Celtics,
809,16,7/2/2023,Capital One Arena,Washington Wizards,Cleveland Cavaliers,
810,16,7/2/2023,Barclays Center,Brooklyn Nets,LA Clippers,
811,16,7/2/2023,United Center,Chicago Bulls,San Antonio Spurs,
812,16,7/2/2023,Toyota Center,Houston Rockets,Sacramento Kings,
813,16,7/2/2023,Vivint Arena,Utah Jazz,Dallas Mavericks,
814,16,7/2/2023,Chase Center,Golden State Warriors,Oklahoma City Thunder,
815,16,7/2/2023,Moda Center,Portland Trail Blazers,Milwaukee Bucks,
816,16,8/2/2023,Amway Center,Orlando Magic,New York Knicks,
817,16,8/2/2023,Barclays Center,Brooklyn Nets,Phoenix Suns,
818,16,8/2/2023,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,
819,16,8/2/2023,FedExForum,Memphis Grizzlies,Chicago Bulls,
820,16,8/2/2023,Ball Arena,Denver Nuggets,Minnesota Timberwolves,
821,16,8/2/2023,Crypto.com Arena,Los Angeles Lakers,Oklahoma City Thunder,
822,16,9/2/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,
823,16,9/2/2023,Capital One Arena,Washington Wizards,Charlotte Hornets,
824,16,9/2/2023,TD Garden,Boston Celtics,Philadelphia 76ers,
825,16,9/2/2023,FTX Arena,Miami Heat,Indiana Pacers,
826,16,9/2/2023,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,
827,16,9/2/2023,Toyota Center,Houston Rockets,Sacramento Kings,
828,16,9/2/2023,Vivint Arena,Utah Jazz,Minnesota Timberwolves,
829,16,9/2/2023,Crypto.com Arena,LA Clippers,Dallas Mavericks,
830,16,9/2/2023,Moda Center,Portland Trail Blazers,Golden State Warriors,
831,17,10/2/2023,Amway Center,Orlando Magic,Denver Nuggets,
832,17,10/2/2023,State Farm Arena,Atlanta Hawks,Phoenix Suns,
833,17,10/2/2023,Barclays Center,Brooklyn Nets,Chicago Bulls,
834,17,10/2/2023,Crypto.com Arena,Los Angeles Lakers,Milwaukee Bucks,
835,17,11/2/2023,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,
836,17,11/2/2023,Gainbridge Fieldhouse,Indiana Pacers,Phoenix Suns,
837,17,11/2/2023,Wells Fargo Center,Philadelphia 76ers,New York Knicks,
838,17,11/2/2023,TD Garden,Boston Celtics,Charlotte Hornets,
839,17,11/2/2023,Scotiabank Arena,Toronto Raptors,Utah Jazz,
840,17,11/2/2023,FTX Arena,Miami Heat,Houston Rockets,
841,17,11/2/2023,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,
842,17,11/2/2023,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,
843,17,11/2/2023,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
844,17,11/2/2023,Golden 1 Center,Sacramento Kings,Dallas Mavericks,
845,17,11/2/2023,Crypto.com Arena,LA Clippers,Milwaukee Bucks,
846,17,11/2/2023,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
847,17,12/2/2023,Spectrum Center,Charlotte Hornets,Denver Nuggets,
848,17,12/2/2023,Amway Center,Orlando Magic,Miami Heat,
849,17,12/2/2023,Capital One Arena,Washington Wizards,Indiana Pacers,
850,17,12/2/2023,State Farm Arena,Atlanta Hawks,San Antonio Spurs,
851,17,12/2/2023,Madison Square Garden,New York Knicks,Utah Jazz,
852,17,12/2/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,
853,17,12/2/2023,Chase Center,Golden State Warriors,Los Angeles Lakers,
854,17,12/2/2023,Golden 1 Center,Sacramento Kings,Dallas Mavericks,
855,17,12/2/2023,TD Garden,Boston Celtics,Memphis Grizzlies,
856,17,12/2/2023,Scotiabank Arena,Toronto Raptors,Detroit Pistons,
857,17,14/02/2023,Spectrum Center,Charlotte Hornets,Atlanta Hawks,
858,17,14/02/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,San Antonio Spurs,
859,17,14/02/2023,Gainbridge Fieldhouse,Indiana Pacers,Utah Jazz,
860,17,14/02/2023,Wells Fargo Center,Philadelphia 76ers,Houston Rockets,
861,17,14/02/2023,FTX Arena,Miami Heat,Denver Nuggets,
862,17,14/02/2023,Madison Square Garden,New York Knicks,Brooklyn Nets,
863,17,14/02/2023,United Center,Chicago Bulls,Orlando Magic,
864,17,14/02/2023,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,
865,17,14/02/2023,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,
866,17,14/02/2023,Chase Center,Golden State Warriors,Washington Wizards,
867,17,14/02/2023,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
868,17,15/02/2023,Scotiabank Arena,Toronto Raptors,Orlando Magic,
869,17,15/02/2023,Fiserv Forum,Milwaukee Bucks,Boston Celtics,
870,17,15/02/2023,Footprint Center,Phoenix Suns,Sacramento Kings,
871,17,15/02/2023,Crypto.com Arena,LA Clippers,Golden State Warriors,
872,17,15/02/2023,Moda Center,Portland Trail Blazers,Washington Wizards,
873,17,16/02/2023,Spectrum Center,Charlotte Hornets,San Antonio Spurs,
874,17,16/02/2023,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,
875,17,16/02/2023,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,
876,17,16/02/2023,State Farm Arena,Atlanta Hawks,New York Knicks,
877,17,16/02/2023,TD Garden,Boston Celtics,Detroit Pistons,
878,17,16/02/2023,Barclays Center,Brooklyn Nets,Miami Heat,
879,17,16/02/2023,FedExForum,Memphis Grizzlies,Utah Jazz,
880,17,16/02/2023,Paycom Center,Oklahoma City Thunder,Houston Rockets,
881,17,16/02/2023,Ball Arena,Denver Nuggets,Dallas Mavericks,
882,17,16/02/2023,Crypto.com Arena,Los Angeles Lakers,New Orleans Pelicans,
883,17,17/02/2023,United Center,Chicago Bulls,Milwaukee Bucks,
884,17,17/02/2023,Target Center,Minnesota Timberwolves,Washington Wizards,
885,17,17/02/2023,Footprint Center,Phoenix Suns,LA Clippers,
886,18,24/02/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Denver Nuggets,
887,18,24/02/2023,Gainbridge Fieldhouse,Indiana Pacers,Boston Celtics,
888,18,24/02/2023,Amway Center,Orlando Magic,Detroit Pistons,
889,18,24/02/2023,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,
890,18,24/02/2023,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,
891,18,24/02/2023,American Airlines Center,Dallas Mavericks,San Antonio Spurs,
892,18,24/02/2023,Vivint Arena,Utah Jazz,Oklahoma City Thunder,
893,18,24/02/2023,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,
894,18,24/02/2023,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,
895,18,25/02/2023,Capital One Arena,Washington Wizards,New York Knicks,
896,18,25/02/2023,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,
897,18,25/02/2023,Fiserv Forum,Milwaukee Bucks,Miami Heat,
898,18,25/02/2023,Target Center,Minnesota Timberwolves,Charlotte Hornets,
899,18,25/02/2023,Footprint Center,Phoenix Suns,Oklahoma City Thunder,
900,18,25/02/2023,United Center,Chicago Bulls,Brooklyn Nets,
901,18,25/02/2023,Chase Center,Golden State Warriors,Houston Rockets,
902,18,25/02/2023,Crypto.com Arena,LA Clippers,Sacramento Kings,
903,18,25/02/2023,Little Caesars Arena,Detroit Pistons,Toronto Raptors,
904,18,26/02/2023,Spectrum Center,Charlotte Hornets,Miami Heat,
905,18,26/02/2023,Amway Center,Orlando Magic,Indiana Pacers,
906,18,26/02/2023,Madison Square Garden,New York Knicks,New Orleans Pelicans,
907,18,26/02/2023,FedExForum,Memphis Grizzlies,Denver Nuggets,
908,18,26/02/2023,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
909,18,26/02/2023,Vivint Arena,Utah Jazz,San Antonio Spurs,
910,18,26/02/2023,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,
911,18,26/02/2023,State Farm Arena,Atlanta Hawks,Brooklyn Nets,
912,18,26/02/2023,United Center,Chicago Bulls,Washington Wizards,
913,18,26/02/2023,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,
914,18,26/02/2023,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Toronto Raptors,
915,18,27/02/2023,Paycom Center,Oklahoma City Thunder,Sacramento Kings,
916,18,27/02/2023,Chase Center,Golden State Warriors,Minnesota Timberwolves,
917,18,27/02/2023,Moda Center,Portland Trail Blazers,Houston Rockets,
918,18,27/02/2023,Ball Arena,Denver Nuggets,LA Clippers,
919,18,28/02/2023,Spectrum Center,Charlotte Hornets,Detroit Pistons,
920,18,28/02/2023,Wells Fargo Center,Philadelphia 76ers,Miami Heat,
921,18,28/02/2023,Madison Square Garden,New York Knicks,Boston Celtics,
922,18,28/02/2023,Smoothie King Center,New Orleans Pelicans,Orlando Magic,
923,18,1/3/2023,State Farm Arena,Atlanta Hawks,Washington Wizards,
924,18,1/3/2023,Barclays Center,Brooklyn Nets,Milwaukee Bucks,
925,18,1/3/2023,Scotiabank Arena,Toronto Raptors,Chicago Bulls,
926,18,1/3/2023,Toyota Center,Houston Rockets,Denver Nuggets,
927,18,1/3/2023,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
928,18,1/3/2023,Paycom Center,Oklahoma City Thunder,Sacramento Kings,
929,18,1/3/2023,American Airlines Center,Dallas Mavericks,Indiana Pacers,
930,18,1/3/2023,Vivint Arena,Utah Jazz,San Antonio Spurs,
931,18,1/3/2023,Chase Center,Golden State Warriors,Portland Trail Blazers,
932,18,1/3/2023,Crypto.com Arena,LA Clippers,Minnesota Timberwolves,
933,18,2/3/2023,Spectrum Center,Charlotte Hornets,Phoenix Suns,
934,18,2/3/2023,Little Caesars Arena,Detroit Pistons,Chicago Bulls,
935,18,2/3/2023,TD Garden,Boston Celtics,Cleveland Cavaliers,
936,18,2/3/2023,FTX Arena,Miami Heat,Philadelphia 76ers,
937,18,2/3/2023,Madison Square Garden,New York Knicks,Brooklyn Nets,
938,18,2/3/2023,Toyota Center,Houston Rockets,Memphis Grizzlies,
939,18,2/3/2023,Fiserv Forum,Milwaukee Bucks,Orlando Magic,
940,18,2/3/2023,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,
941,18,2/3/2023,Moda Center,Portland Trail Blazers,New Orleans Pelicans,
942,19,3/3/2023,Capital One Arena,Washington Wizards,Toronto Raptors,
943,19,3/3/2023,American Airlines Center,Dallas Mavericks,Philadelphia 76ers,
944,19,3/3/2023,AT&T Center,San Antonio Spurs,Indiana Pacers,
945,19,3/3/2023,Chase Center,Golden State Warriors,LA Clippers,
946,19,4/3/2023,Spectrum Center,Charlotte Hornets,Orlando Magic,
947,19,4/3/2023,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,
948,19,4/3/2023,TD Garden,Boston Celtics,Brooklyn Nets,
949,19,4/3/2023,FTX Arena,Miami Heat,New York Knicks,
950,19,4/3/2023,United Center,Chicago Bulls,Phoenix Suns,
951,19,4/3/2023,Paycom Center,Oklahoma City Thunder,Utah Jazz,
