Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
267,Kenyon Martin Jr.,SF,22,HOU,14,3,25.1,4.2,8.1,0.518,1.1,3.5,0.327,3.1,4.6,0.662,0.588,1.4,2.1,0.667,1.3,3.7,5,1.6,0.4,0.6,1.2,2.1,11
268,Tyrese Martin,SG,23,ATL,6,0,2.5,0.5,0.8,0.6,0.2,0.3,0.5,0.3,0.5,0.667,0.7,0,0,,0.2,0,0.2,0,0.2,0,0,0.2,1.2
269,Garrison Mathews,SG,26,HOU,13,0,11.8,1.1,3.2,0.333,1.1,3.2,0.341,0,0.1,0,0.5,0.6,0.6,1,0.1,0.8,0.8,0.4,0.3,0.1,0.4,1.2,3.8
270,Bennedict Mathurin,SG,20,IND,12,0,28.2,6.1,13.3,0.456,2.8,6.3,0.453,3.3,7.1,0.459,0.563,4.9,5.9,0.831,1.3,2.7,3.9,2.3,0.4,0.1,2.4,2.3,19.9
271,Wesley Matthews,SG,36,MIL,13,0,16.3,1.1,3.7,0.292,0.8,2.8,0.297,0.2,0.8,0.273,0.406,0.4,0.5,0.833,1,1.3,2.3,0.6,0.7,0.3,0.5,1.7,3.4
272,Tyrese Maxey,SG,22,PHI,14,14,37.5,8.4,18.6,0.448,2.9,7,0.408,5.5,11.6,0.472,0.525,3.2,4.3,0.75,0.4,3,3.4,4.4,1.1,0.2,2.1,2.5,22.8
273,Miles McBride,PG,22,NYK,4,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0.5,0,0,0,0,0.5,0,0,0,0.3,0
274,CJ McCollum,SG,31,NOP,14,14,36,7.4,18.6,0.398,2.2,7.1,0.313,5.2,11.6,0.451,0.458,1.6,2.1,0.767,1,4.3,5.3,6.5,1.3,0.6,2.1,1.9,18.7
275,T.J. McConnell,PG,30,IND,11,0,15.9,1.8,4.8,0.377,0,0.2,0,1.8,4.6,0.392,0.377,0.2,0.3,0.667,0.5,1.7,2.3,3.3,1.2,0.3,1.6,1.2,3.8
276,Jaden McDaniels,PF,22,MIN,14,14,29.6,4.4,7.8,0.56,0.9,2.6,0.361,3.4,5.2,0.658,0.619,1.6,2.1,0.759,1.4,1.9,3.4,1.1,1.2,1.3,1.5,3.8,11.2
277,Jalen McDaniels,SF,25,CHO,15,1,26.3,3.7,8.3,0.44,1.3,3.3,0.4,2.3,5,0.467,0.52,1.2,1.4,0.857,1.1,3.9,5,2.3,1.1,0.7,1.3,2.6,9.9
278,Doug McDermott,SF,31,SAS,15,0,20.9,3.5,8.1,0.43,1.9,4.9,0.397,1.5,3.2,0.479,0.55,0.7,1,0.667,0.3,1.7,1.9,1.2,0.1,0.2,1.1,1.6,9.5
279,JaVale McGee,C,35,DAL,10,7,9.4,1.6,3.2,0.5,0,0,,1.6,3.2,0.5,0.5,1,1.7,0.588,1.1,1.9,3,0.2,0.3,0.5,1.1,1,4.2
280,Bryce McGowens,SG,20,CHO,5,0,6,1,1.8,0.556,0.2,0.6,0.333,0.8,1.2,0.667,0.611,1,1,1,0,0.4,0.4,0.2,0.4,0.2,0.2,0.2,3.2
281,Rodney McGruder,SG,31,DET,5,0,4.2,0.2,1.4,0.143,0.2,0.8,0.25,0,0.6,0,0.214,0.4,0.4,1,0.4,0.4,0.8,0.2,0,0,0,0.2,1
282,Jordan McLaughlin,PG,26,MIN,12,0,15.6,1.3,3.3,0.375,0.2,1.6,0.105,1.1,1.8,0.619,0.4,0.5,0.5,1,0.3,1.7,2,3.8,0.5,0.1,0.7,0.5,3.2
283,De'Anthony Melton,PG,24,PHI,12,5,24.4,3.5,8.1,0.433,1.3,4,0.333,2.2,4.1,0.531,0.515,0.4,0.6,0.714,1.2,3.1,4.3,2.7,1.6,0.5,0.9,1.6,8.8
284,Chimezie Metu,C,25,SAC,9,0,12,1.9,3.9,0.486,0.1,1.2,0.091,1.8,2.7,0.667,0.5,0.6,0.7,0.833,0.3,2.3,2.7,0.9,0.4,0.1,0.7,1,4.4
285,Patty Mills,PG,34,BRK,15,0,12.3,1.7,4.1,0.41,1.3,3.2,0.396,0.4,0.9,0.462,0.566,0.7,0.7,1,0.3,0.6,0.9,0.9,0.2,0.1,0.2,0.5,5.3
286,Shake Milton,SG,26,PHI,10,0,12.4,1.7,3.7,0.459,0.1,0.7,0.143,1.6,3,0.533,0.473,0.4,0.6,0.667,0.5,1.5,2,1.4,0,0.2,1.2,1.4,3.9
287,Davion Mitchell,PG,24,SAC,13,1,18.6,2.8,5.8,0.474,1,2.9,0.342,1.8,2.9,0.605,0.559,0.3,0.5,0.667,0.1,1.2,1.2,1.8,0.5,0.1,1.3,1.7,6.8
288,Donovan Mitchell,SG,26,CLE,11,11,39.1,11.2,21.8,0.513,4.2,9.6,0.434,7,12.2,0.575,0.608,5.1,5.8,0.875,1,3.7,4.7,6.1,1.4,0.6,3.4,2.9,31.6
289,Evan Mobley,PF,21,CLE,13,13,33.9,6,10.8,0.553,0.2,0.8,0.182,5.8,10,0.585,0.56,2.6,3.7,0.708,2.4,5.2,7.5,2.2,0.9,1.4,2.4,3.1,14.8
290,Isaiah Mobley,PF,23,CLE,1,0,4,1,1,1,1,1,1,0,0,,1.5,0,0,,0,1,1,0,0,0,0,1,3
291,Chima Moneke,SF,27,SAC,1,0,6,0,1,0,0,0,,0,1,0,0,0,2,0,2,0,2,1,0,0,0,2,0
